category,business_count,avg_rating,avg_reviews,opportunity_score
southern,6,4.166666666666666,2126.5000000000000000,1476.736111111111
coffee & tea,2,4.35,656.0000000000000000,1426.8
vietnamese,1,4.3,329.0000000000000000,1414.7
pizza,3,4.2,996.6666666666666667,1395.3333333333333
mediterranean,3,4.3,924.3333333333333333,1324.8777777777777
vegan,1,4.6,285.0000000000000000,1311
asian fusion,4,4.199999999999999,1238.0000000000000000,1299.8999999999999
breakfast & brunch,5,4.299999999999999,1458.0000000000000000,1253.8799999999997
mexican,1,4.5,273.0000000000000000,1228.5
ramen,5,4.2,1411.0000000000000000,1185.24
greek,2,4.35,536.0000000000000000,1165.8
tacos,3,4.566666666666666,705.0000000000000000,1073.1666666666667
modern european,1,4.2,252.0000000000000000,1058.4
tapas/small plates,3,4.5,694.6666666666666667,1042
bars,2,4.15,500.0000000000000000,1037.5
middle eastern,2,4.300000000000001,469.5000000000000000,1009.4250000000002
chinese,2,4.2,461.0000000000000000,968.1
sushi bars,7,4.457142857142857,1423.4285714285714286,906.3463556851311
caribbean,2,4.5,388.0000000000000000,873
sandwiches,11,4.418181818181818,2099.1818181818181818,843.1424492862509
salad,4,4.2,769.0000000000000000,807.45
spanish,1,4.3,185.0000000000000000,795.5
chinese,2,4.35,361.5000000000000000,786.2624999999999
thai,4,4.175000000000001,749.0000000000000000,781.7687500000002
lounges,4,4.3500000000000005,706.2500000000000000,768.0468750000001
korean,2,4.199999999999999,338.0000000000000000,709.7999999999998
mediterranean,2,4.449999999999999,293.5000000000000000,653.0374999999999
pizza,9,4.377777777777777,1338.3333333333333333,650.991769547325
japanese,8,4.5125,1092.8750000000000000,616.4498046875
steakhouses,7,4.2857142857142865,863.2857142857142857,528.5422740524783
noodles,6,4.233333333333333,713.1666666666666667,503.17870370370366
italian,5,4.38,530.0000000000000000,464.28000000000003
desserts,6,4.3,637.3333333333333333,456.75555555555553
french,1,4.4,91.0000000000000000,400.40000000000003
seafood,10,4.279999999999999,863.8000000000000000,369.7063999999999
steakhouses,8,4.2,698.7500000000000000,366.84375
american,14,4.185714285714285,1215.8571428571428571,363.51647230320697
american,12,4.208333333333333,1021.7500000000000000,358.3220486111111
bars,14,4.242857142857142,1057.8571428571428571,320.59548104956264
sushi bars,8,4.387499999999999,576.1250000000000000,315.96855468749993
new american,13,4.215384615384615,863.7692307692307692,280.0861174328629
cocktail bars,6,4.2333333333333325,395.5000000000000000,279.04722222222216
japanese,9,4.366666666666666,569.4444444444444444,276.28600823045264
wine bars,2,4.75,103.0000000000000000,244.625
italian,14,4.178571428571428,746.6428571428571429,222.85003644314864
mexican,13,4.246153846153846,659.6153846153846154,215.44833864360493
breakfast & brunch,24,4.295833333333333,1092.5833333333333333,195.56482928240737
wine bars,21,4.157142857142857,722.7142857142857143,143.0679300291545
new american,23,4.213043478260869,739.6956521739130435,135.49434536040107
seafood,21,4.361904761904762,614.7619047619047619,127.69204189612356
cocktail bars,41,4.226829268292684,878.2926829268292683,90.54617605664457
